Type,ColorType,ColorLetter,R,G,B
seq,Blues,A,247,251,255
seq,Blues,B,239,243,255
seq,Blues,C,222,235,247
seq,Blues,D,198,219,239
seq,Blues,E,189,215,231
seq,Blues,F,158,202,225
seq,Blues,G,107,174,214
seq,Blues,H,66,146,198
seq,Blues,I,49,130,189
seq,Blues,J,33,113,181
seq,Blues,K,8,81,156
seq,Blues,L,8,69,148
seq,Blues,M,8,48,107
seq,BuGn,A,247,252,253
seq,BuGn,B,237,248,251
seq,BuGn,C,229,245,249
seq,BuGn,D,204,236,230
seq,BuGn,E,178,226,226
seq,BuGn,F,153,216,201
seq,BuGn,G,102,194,164
seq,BuGn,H,65,174,118
seq,BuGn,I,44,162,95
seq,BuGn,J,35,139,69
seq,BuGn,K,0,109,44
seq,BuGn,L,0,88,36
seq,BuGn,M,0,68,27
seq,BuPu,A,247,252,253
seq,BuPu,B,237,248,251
seq,BuPu,C,224,236,244
seq,BuPu,D,191,211,230
seq,BuPu,E,179,205,227
seq,BuPu,F,158,188,218
seq,BuPu,G,140,150,198
seq,BuPu,H,140,107,177
seq,BuPu,I,136,86,167
seq,BuPu,J,136,65,157
seq,BuPu,K,129,15,124
seq,BuPu,L,110,1,107
seq,BuPu,M,77,0,75
seq,GnBu,A,247,252,240
seq,GnBu,B,240,249,232
seq,GnBu,C,224,243,219
seq,GnBu,D,204,235,197
seq,GnBu,E,186,228,188
seq,GnBu,F,168,221,181
seq,GnBu,G,123,204,196
seq,GnBu,H,78,179,211
seq,GnBu,I,67,162,202
seq,GnBu,J,43,140,190
seq,GnBu,K,8,104,172
seq,GnBu,L,8,88,158
seq,GnBu,M,8,64,129
seq,Greens,A,247,252,245
seq,Greens,B,237,248,233
seq,Greens,C,229,245,224
seq,Greens,D,199,233,192
seq,Greens,E,186,228,179
seq,Greens,F,161,217,155
seq,Greens,G,116,196,118
seq,Greens,H,65,171,93
seq,Greens,I,49,163,84
seq,Greens,J,35,139,69
seq,Greens,K,0,109,44
seq,Greens,L,0,90,50
seq,Greens,M,0,68,27
seq,Greys,A,255,255,255
seq,Greys,B,247,247,247
seq,Greys,C,240,240,240
seq,Greys,D,217,217,217
seq,Greys,E,204,204,204
seq,Greys,F,189,189,189
seq,Greys,G,150,150,150
seq,Greys,H,115,115,115
seq,Greys,I,99,99,99
seq,Greys,J,82,82,82
seq,Greys,K,37,37,37
seq,Greys,L,37,37,37
seq,Greys,M,0,0,0
seq,OrRd,A,255,247,236
seq,OrRd,B,254,240,217
seq,OrRd,C,254,232,200
seq,OrRd,D,253,212,158
seq,OrRd,E,253,204,138
seq,OrRd,F,253,187,132
seq,OrRd,G,252,141,89
seq,OrRd,H,239,101,72
seq,OrRd,I,227,74,51
seq,OrRd,J,215,48,31
seq,OrRd,K,179,0,0
seq,OrRd,L,153,0,0
seq,OrRd,M,127,0,0
seq,Oranges,A,255,245,235
seq,Oranges,B,254,237,222
seq,Oranges,C,254,230,206
seq,Oranges,D,253,208,162
seq,Oranges,E,253,190,133
seq,Oranges,F,253,174,107
seq,Oranges,G,253,141,60
seq,Oranges,H,241,105,19
seq,Oranges,I,230,85,13
seq,Oranges,J,217,71,1
seq,Oranges,K,166,54,3
seq,Oranges,L,140,45,4
seq,Oranges,M,127,39,4
seq,PuBu,A,255,247,251
seq,PuBu,B,241,238,246
seq,PuBu,C,236,231,242
seq,PuBu,D,208,209,230
seq,PuBu,E,189,201,225
seq,PuBu,F,166,189,219
seq,PuBu,G,116,169,207
seq,PuBu,H,54,144,192
seq,PuBu,I,43,140,190
seq,PuBu,J,5,112,176
seq,PuBu,K,4,90,141
seq,PuBu,L,3,78,123
seq,PuBu,M,2,56,88
seq,PuBuGn,A,255,247,251
seq,PuBuGn,B,246,239,247
seq,PuBuGn,C,236,226,240
seq,PuBuGn,D,208,209,230
seq,PuBuGn,E,189,201,225
seq,PuBuGn,F,166,189,219
seq,PuBuGn,G,103,169,207
seq,PuBuGn,H,54,144,192
seq,PuBuGn,I,28,144,153
seq,PuBuGn,J,2,129,138
seq,PuBuGn,K,1,108,89
seq,PuBuGn,L,1,100,80
seq,PuBuGn,M,1,70,54
seq,PuRd,A,247,244,249
seq,PuRd,B,241,238,246
seq,PuRd,C,231,225,239
seq,PuRd,D,212,185,218
seq,PuRd,E,215,181,216
seq,PuRd,F,201,148,199
seq,PuRd,G,223,101,176
seq,PuRd,H,231,41,138
seq,PuRd,I,221,28,119
seq,PuRd,J,206,18,86
seq,PuRd,K,152,0,67
seq,PuRd,L,145,0,63
seq,PuRd,M,103,0,31
seq,Purples,A,252,251,253
seq,Purples,B,242,240,247
seq,Purples,C,239,237,245
seq,Purples,D,218,218,235
seq,Purples,E,203,201,226
seq,Purples,F,188,189,220
seq,Purples,G,158,154,200
seq,Purples,H,128,125,186
seq,Purples,I,117,107,177
seq,Purples,J,106,81,163
seq,Purples,K,84,39,143
seq,Purples,L,74,20,134
seq,Purples,M,63,0,125
seq,RdPu,A,255,247,243
seq,RdPu,B,254,235,226
seq,RdPu,C,253,224,221
seq,RdPu,D,252,197,192
seq,RdPu,E,251,180,185
seq,RdPu,F,250,159,181
seq,RdPu,G,247,104,161
seq,RdPu,H,221,52,151
seq,RdPu,I,197,27,138
seq,RdPu,J,174,1,126
seq,RdPu,K,122,1,119
seq,RdPu,L,122,1,119
seq,RdPu,M,73,0,106
seq,Reds,A,255,245,240
seq,Reds,B,254,229,217
seq,Reds,C,254,224,210
seq,Reds,D,252,187,161
seq,Reds,E,252,174,145
seq,Reds,F,252,146,114
seq,Reds,G,251,106,74
seq,Reds,H,239,59,44
seq,Reds,I,222,45,38
seq,Reds,J,203,24,29
seq,Reds,K,165,15,21
seq,Reds,L,153,0,13
seq,Reds,M,103,0,13
seq,YlGn,A,255,255,229
seq,YlGn,B,255,255,204
seq,YlGn,C,247,252,185
seq,YlGn,D,217,240,163
seq,YlGn,E,194,230,153
seq,YlGn,F,173,221,142
seq,YlGn,G,120,198,121
seq,YlGn,H,65,171,93
seq,YlGn,I,49,163,84
seq,YlGn,J,35,132,67
seq,YlGn,K,0,104,55
seq,YlGn,L,0,90,50
seq,YlGn,M,0,69,41
seq,YlGnBu,A,255,255,217
seq,YlGnBu,B,255,255,204
seq,YlGnBu,C,237,248,177
seq,YlGnBu,D,199,233,180
seq,YlGnBu,E,161,218,180
seq,YlGnBu,F,127,205,187
seq,YlGnBu,G,65,182,196
seq,YlGnBu,H,29,145,192
seq,YlGnBu,I,44,127,184
seq,YlGnBu,J,34,94,168
seq,YlGnBu,K,37,52,148
seq,YlGnBu,L,12,44,132
seq,YlGnBu,M,8,29,88
seq,YlOrBr,A,255,255,229
seq,YlOrBr,B,255,255,212
seq,YlOrBr,C,255,247,188
seq,YlOrBr,D,254,227,145
seq,YlOrBr,E,254,217,142
seq,YlOrBr,F,254,196,79
seq,YlOrBr,G,254,153,41
seq,YlOrBr,H,236,112,20
seq,YlOrBr,I,217,95,14
seq,YlOrBr,J,204,76,2
seq,YlOrBr,K,153,52,4
seq,YlOrBr,L,140,45,4
seq,YlOrBr,M,102,37,6
seq,YlOrRd,A,255,255,204
seq,YlOrRd,B,255,255,178
seq,YlOrRd,C,255,237,160
seq,YlOrRd,D,254,217,118
seq,YlOrRd,E,254,204,92
seq,YlOrRd,F,254,178,76
seq,YlOrRd,G,253,141,60
seq,YlOrRd,H,252,78,42
seq,YlOrRd,I,240,59,32
seq,YlOrRd,J,227,26,28
seq,YlOrRd,K,189,0,38
seq,YlOrRd,L,177,0,38
seq,YlOrRd,M,128,0,38
qual,Accent,A,127,201,127
qual,Accent,B,190,174,212
qual,Accent,C,253,192,134
qual,Accent,D,255,255,153
qual,Accent,E,56,108,176
qual,Accent,F,240,2,127
qual,Accent,G,191,91,23
qual,Accent,H,102,102,102
qual,Dark2,A,27,158,119
qual,Dark2,B,217,95,2
qual,Dark2,C,117,112,179
qual,Dark2,D,231,41,138
qual,Dark2,E,102,166,30
qual,Dark2,F,230,171,2
qual,Dark2,G,166,118,29
qual,Dark2,H,102,102,102
qual,Paired,A,166,206,227
qual,Paired,B,31,120,180
qual,Paired,C,178,223,138
qual,Paired,D,51,160,44
qual,Paired,E,251,154,153
qual,Paired,F,227,26,28
qual,Paired,G,253,191,111
qual,Paired,H,255,127,0
qual,Paired,I,202,178,214
qual,Paired,J,106,61,154
qual,Paired,K,255,255,153
qual,Paired,L,177,89,40
qual,Pastel1,A,251,180,174
qual,Pastel1,B,179,205,227
qual,Pastel1,C,204,235,197
qual,Pastel1,D,222,203,228
qual,Pastel1,E,254,217,166
qual,Pastel1,F,255,255,204
qual,Pastel1,G,229,216,189
qual,Pastel1,H,253,218,236
qual,Pastel1,I,242,242,242
qual,Pastel2,A,179,226,205
qual,Pastel2,B,253,205,172
qual,Pastel2,C,203,213,232
qual,Pastel2,D,244,202,228
qual,Pastel2,E,230,245,201
qual,Pastel2,F,255,242,174
qual,Pastel2,G,241,226,204
qual,Pastel2,H,204,204,204
qual,Set1,A,228,26,28
qual,Set1,B,55,126,184
qual,Set1,C,77,175,74
qual,Set1,D,152,78,163
qual,Set1,E,255,127,0
qual,Set1,F,255,255,51
qual,Set1,G,166,86,40
qual,Set1,H,247,129,191
qual,Set1,I,153,153,153
qual,Set2,A,102,194,165
qual,Set2,B,252,141,98
qual,Set2,C,141,160,203
qual,Set2,D,231,138,195
qual,Set2,E,166,216,84
qual,Set2,F,255,217,47
qual,Set2,G,229,196,148
qual,Set2,H,179,179,179
qual,Set3,A,141,211,199
qual,Set3,B,255,255,179
qual,Set3,C,190,186,218
qual,Set3,D,251,128,114
qual,Set3,E,128,177,211
qual,Set3,F,253,180,98
qual,Set3,G,179,222,105
qual,Set3,H,252,205,229
qual,Set3,I,217,217,217
qual,Set3,J,188,128,189
qual,Set3,K,204,235,197
qual,Set3,L,255,237,111
div,BrBG,A,84,48,5
